,user_input,retrieved_contexts,response,reference,context_precision,answer_relevancy,faithfulness,context_recall
10,How does the performance of LSTUR-con measured by AUC compare to LSTUR-ini as the mask probability p increases?,"['(78K)6.310.28.79.88.7ScRNN (10K) w/ Backoff VariantsPass-Through8.510.510.711.210.2Neutral8.710.910.811.410.6Background5.48.16.47.66.9Table 2: Word Error Rates (WER) of ScRNN with eachbackoff strategy, plus ATD and an ScRNN trained onlyon the background corpus (78K vocabulary) The errorrates include 5.25% OOV words.ResultsWe calculate the word error rates(WER) of each of the models for different at-tacks and present our ﬁndings in Table 2. Notethat ATD incorrectly predicts 11.2 words for ev-ery 100 words (in the ‘all’ setting), whereas, all ofthe backoff variations of the ScRNN reconstructbetter. The most accurate variant involves backingoff to the background model, resulting in a low er-ror rate of 6.9%, leading to the best performanceon word recognition. This is a 32% relative error4https://www.afterthedeadline.com/5WecomparedATDwithHunspell(http://hunspell.github.io/), which is used in Linuxapplications. ATD was signiﬁcantly more robust owing totaking context into account while correcting.\x0c5587reduction compared to the vanilla ScRNN modelwith a pass-through backoff strategy. We can at-tribute the improved performance to the fact thatthere are 5.25% words in the test corpus that areunseen in the training corpus, and are thus onlyrecoverable by backing off to a larger corpus. No-tably, only training on the larger background cor-pus does worse, at 8.7%, since the distribution ofword frequencies is different in the backgroundcorpus compared to the foreground corpus.4.2Robustness to adversarial attacksWe use sentiment analysis and paraphrase detec-tion as downstream tasks, as for these two tasks,1-2 character edits do not change the output labels.Experimental SetupFor sentiment classiﬁca-tion,we systematically study the effect ofcharacter-level adversarial attacks on two architec-tures and four different input formats. The ﬁrstarchitecture encodes the input sentence into a se-quence of embeddings, which are then sequen-tially processed by a BiLSTM. The ﬁrst and']","As the mask probability \( p \) increases, the performance of LSTUR-con and LSTUR-ini, measured by the Area Under the Curve (AUC), may exhibit a nuanced change. While the exact nature of this change depends on the specific models and context, it's reasonable to consider the following possibilities: 1. **Overfitting vs. Generalization**: A stricter mask (higher \( p \)) might lead to overfitting, where the model becomes overly complex and fails to generalize well to unseen data. This could result in a lower AUC as the model's performance decreases on the training data. 2. **Conservativeness vs. Conservativeness**: A less stringent mask (lower \( p \)) might allow the models to perform better, as they are less likely to be influenced by noise or outliers. This could result in a higher AUC as the models generalize better. 3. **Trade-off Between Flexibility and Accuracy**: There might be a trade-off where an increase in \( p \) leads to a slight improvement in AUC, as the models become more flexible and better at capturing underlying patterns. Conversely, a stricter mask could lead to a decrease in AUC due to reduced generalization. 4. **Dataset and Feature Considerations**: The change in AUC could also be influenced by factors such as dataset size, class imbalance, and feature relevance. Without specific information on these aspects, it's challenging to determine the exact impact. In conclusion, the relationship between \( p \) and AUC for LSTUR-con and LSTUR-ini is not straightforward and depends on the specific context and model dynamics. Further details about the models and their application would be necessary to provide a more precise analysis.","The performance of LSTUR-con measured by AUC remains relatively stable and high as the mask probability p increases, whereas LSTUR-ini sees a more significant increase before stabilizing.",0.0,0.0,0.0,0.0
11,What are the four distinct focus areas of Novo Nordisk's corporate strategy?,"[""2025. The Strategic Aspirations are objectives that Novo Nordisk intends to work towards and are not a projection of Novo Nordisk's financial outlook or expected growth.1. CER: Constant Exchange Rate 2. IO: International Operations3. NAO: North America OperationsIntroducing Novo Nordisk  /  Strategic Aspirations  /  Corporate governance  /  Consolidated statements  /  Additional informationNovo Nordisk Annual Report 2020  /  9\x0cFinancialhighlightsSales by therapeutic area  Diabetes care      Obesity care      Biopharm4%81%48%27%11%14%15%Sales by geographic area  North America      EMEA  Region China        Rest of WorldPerformance highlightsDKK million201620172018201920202019–2020Financial performanceChangeNet sales111,780111,696111,831122,021126,9464%Sales growth as reported3.6%(0.1%)0.1%9.1%4.0%Sales growth in constant exchange rates (CER)15.5%2.3%4.6%5.6%6.7%Operating profit48,43248,96747,24852,48354,1263%Operating profit growth as reported(2.0%)1.1%(3.5%)11.1%3.1%Operating profit growth in constant exchange rates (CER)10,2%4.8%2.8%5.6%6.8%Depreciation, amortisation and impairment losses3,1933,1823,9255,6615,753Net financials(634)(287)367(3,930)(996)Profit before income taxes47,79848,68047,61548,55353,1309%Effective tax rate220.7%21.7%18.9%19.8%20.7%Net profit 37,92538,13038,62838,95142,1388%Purchase of intangible assets21,1991,0222,7742,29916,256607%Purchase of property, plant and equipment27,0687,6269,6368,9325,825(35%)Free cash flow139,99132,58832,53634,45128,565(17%)Total assets97,539102,355110,769125,612144,92215%Equity 45,26949,81551,83957,59363,32510%Financial ratiosGross margin284.6%84.2%84.2%83.5%83.5%Sales and distribution costs in percentage of sales25.4%25.4%26.3%26.1%25.9%Research and development costs in percentage of sales13.0%12.5%13.2%11.7%12.2%Operating margin243.3%43.8%42.2%43.0%42.6%Net profit margin233.9%34.1%34.5%31.9%33.2%Cash to earnings1105.4%85.5%84.2%88.4%67.8%Operating profit after tax to net operating""]","The four distinct focus areas of Novo Nordisk's corporate strategy are: 1. **Disease Prevention**: They prioritize treating diseases that are difficult to diagnose, ensuring proper treatment and prevention. 2. **Research and Development (R&D)**: They invest heavily in new drug development and technological advancements to create effective treatments. 3. **Sustainability**: They focus on reducing environmental impact and adopting eco-friendly practices to minimize their ecological footprint. 4. **Global Partnerships**: They aim to build long-term partnerships across various regions to expand their market share and reach. These areas collectively contribute to Novo Nordisk's comprehensive approach to drug development and global health strategy.","Diabetes care, Obesity care, Biopharm, and establishing a presence in other serious chronic diseases like NASH, cardiovascular disease, and Alzheimer’s disease.",0.0,0.8724474285819528,0.0,0.0
12,Did Bed Bath & Beyond file for bankruptcy?,"['In February 2019, the US Court of Appeals for the Second Circuit (the ‘Second Circuit Court of Appeals’) reversed that dismissal. Following the US Supreme Court’s denial of certiorari in June 2020, the cases were remanded to the US Bankruptcy Court, where they are now pending.Fairfield Sentry Limited, Fairfield Sigma Limited and Fairfield Lambda Limited (together, ‘Fairfield’) (in liquidation since July 2009) have brought a lawsuit in the US against fund shareholders, including HSBC companies that acted as nominees for clients, seeking restitution of redemption payments. In December 2018, the US Bankruptcy Court issued an opinion, which ruled in favour of the defendants’ motion to dismiss in respect of certain claims by the liquidators for Fairfield and granted a motion by the liquidators to file amended complaints. As a result of that opinion, all claims against one of the HSBC companies, and certain claims against the remaining HSBC defendants, were dismissed. In May 2019, the liquidators appealed certain issues from the US Bankruptcy Court to the US District Court for the Southern District of New York (the ’New York District Court’) and, in January 2020, the liquidators filed amended complaints on the claims remaining in the US Bankruptcy Court. In March 2020, HSBC and other parties to the action moved to dismiss the amended complaints in the US Bankruptcy Court. In December 2020, the US Bankruptcy Court granted in part and denied in part the defendants’ motion. This action remains pending in the US Bankruptcy Court and the New York District Court.Notes on the financial statements356HSBC Holdings plc Annual Report and Accounts 2020\x0cUK litigation: The Trustee has filed a claim against various HSBC companies in the High Court of England and Wales, seeking recovery of transfers from Madoff Securities to HSBC in an amount not yet pleaded or determined. The deadline for service of the claim has been extended to September 2021 for UK-based defendants and November 2021']","I don't have direct information on whether Bed Bath & Beyond filed for bankruptcy. However, I can suggest checking their financial reports or recent announcements for any updates. If they are in the retail industry, it might be less likely they filed for bankruptcy, but I'm not certain. For more details, I recommend looking into their financial status or recent news.",Yes.,0.0,0.0,0.0,0.0
13,What accomplishments had Louise Glück achieved before receiving the Nobel Prize?,"['Dyckerhoff (1967), A, E, GDr Patrick Frost (1968), B, E, G\u2003Paul Bulcke (1954), B, E, G\u2003Anita Hauser (1969), A, E, G\u2003Prof. Dr Richard P. Lifton (1953), C, E, G\u2003A\u2002 Corporate Governance and Sustainability Committee\u2003B\u2002 \u200aAudit Committee\u2003C\u2002 Remuneration Committee\u2003D\u2002 Chairman’s/Nomination Committee\u2003E\u2002 Non-executive director\u2003F\u2002 Executive director\u2003G\u2002 Independent member of the Board of Directors\u2003*\u2002 Committee chairperson14\x0cBoard of Directors\u2003 |\u2003 Roche\u200315\x0c1616\x0cImproving people’s lives by delivering medical innovations – that is what Roche has been about for 125\xa0years now. Many of our medicines which were developed decades ago are still greatly benefiting millions of people today. The World Health Organization’s Model List of Essential Medicines includes 32\xa0of our products – a record high. In the future, too, Roche’s success will be based on medical innovations.  Despite all the successes, there is still a great need for better therapies in many areas, such as cancer, dementia and infections, far beyond COVID-19. A need for effective treatments to give people with serious diseases a better life or even cure them, a need for\xa0precision diagnostics to find the cause of a disease and treat it at the earliest possible stage.\xa0Preventive diagnostics are also gaining increasing significance.Looking ahead, I am pleased with the continued high demand for our newly launched medicines and\xa0diagnostic tests as well as the development of\xa0our product pipelines in both divisions.Last year, we continued to make significant progress\xa0for patients. Tecentriq became the first cancer immunotherapy for people with early-stage lung cancer to be approved – for many, this means hope for a cure. Polivy is the first medicine in 20\xa0years to significantly improve outcomes in a form\xa0of aggressive blood cancer.In ophthalmology, we were granted regulatory approval for Susvimo, an innovative eye implant. Susvimo offers an alternative to monthly injections in the eyes and can thus make the lives of people with']","Louise Glück achieved several significant accomplishments before receiving the Nobel Prize, primarily in the field of peace and international aid. Her key contributions include: 1. **International Red Cross**: She was a prominent member of the organization, known for its work in disaster relief and international aid, which was crucial during her Nobel-winning work. 2. **World Health Organization (WHO)**: She played a key role in the global health response during the COVID-19 pandemic, contributing to the international health response and aid. 3. **International Peacekeeping**: She was involved in peacekeeping missions, maintaining stability and justice in regions such as the Middle East and Africa, which were significant contributions to international peace. These achievements highlight her dedication and impact in the field of peace and international aid before receiving the Nobel Prize.",She won the Pulitzer Prize and the National Book Award.,0.0,0.7965316011476641,0.0,0.0
14,What positions did Dr. Reese hold at the Company between 2015 and 2018?,"['experience•\t Vice president, deputy general counsel, AbbVie Inc., US (2019–2021)•\t Vice president, chief ethics and compliance officer, AbbVie Inc., US (2013–2019)•\t Vice president, litigation and legal specialty operations, AbbVie Inc., US (2013)•\t Divisional vice president, commercial litigation, Abbott Laboratories, US (2006–2012)•\t Began practicing law in 1994 and joined Abbott in 1997Education•\t Bar memberships: Illinois and Virginia, US•\t Juris doctor, William & Mary Law School, US•\t Bachelor’s degree in economics, Duke University, USHarry KirschChief Financial Officer of Novartis since 2013 | Nationality: German/Swiss | Year of birth: 1965Professional experience •\t Chief Financial Officer of the Pharmaceuticals Division (now known as the Innovative Medicines Division), Novartis Pharmaceuticals, Switzerland (2010-2013)•\t Chief Financial Officer of Pharma Europe, Novartis Pharmaceuticals, Switzerland (2008–2010)•\t Head of Business Planning & Analysis for the Pharmaceuticals Division, Novartis Pharmaceuticals, Switzerland (2005–2008) •\t Joined Novartis in 2003 as Head Finance Global Primary Care, and over the years held positions of increasing responsibility within Finance Mandates •\t Represented Novartis on the board of GlaxoSmithKline Consumer Healthcare Holdings Ltd. (2015–2018)Education•\t Diploma degree in industrial engineering and economics, University of Karlsruhe, Germany\x0cItem 6.  Directors, Senior Management and Employees\ufeff148Robert (Rob) KowalskiChief People & Organization Officer of Novartis since September 1, 2021 | Nationality: American | Year of birth: 1968Professional experience•\t Executive Vice President and Global Head of Regulatory Affairs (2018–2021), and US Head of Global Drug Development (2009–2015 and 2017–2021), Novartis Pharmaceuticals Corporation, US •\t Ad interim President, Novartis Corporation, US (March–May 2021) •\t Ad interim Head of Global Drug Development and Chief Medical Officer, Novartis AG, Switzerland (February–April 2018) •']",I don't have verified information on Dr. Reese's positions at the Company between 2015 and 2018.,"Dr. Reese was Senior Vice President, Translational Sciences and Oncology, from 2017 to 2018 and Senior Vice President, Translational Sciences, from 2015 to 2017.",0.0,0.0,0.5,0.5
15,What is the BLEU score for CodeBERT when pre-trained with MLM+RTD objectives?,"['use the same evaluation scripts as Iyer et al.(2016).MODELBLEUMOSES (KOEHN ET AL., 2007)11.57IR13.66SUM-NN (RUSH ET AL., 2015)19.312-LAYER BILSTM19.78TRANSFORMER (VASWANI ET AL., 2017)19.68TREELSTM (TAI ET AL., 2015)20.11CODENN (IYER ET AL., 2016)20.53CODE2SEQ (ALON ET AL., 2019)23.04ROBERTA19.81PRE-TRAIN W/ CODE ONLY20.65CODEBERT (RTD)22.14CODEBERT (MLM)22.32CODEBERT (MLM+RTD)22.36Table 5: Code-to-NL generation on C# language.Model ComparisonsTable 5 shows that ourmodel with MLM and RTD pre-training objectivesachieves 22.36 BLEU score and improves by 2.55points over RoBERTa, which illustrates CodeBERT8We further give some output examples in Appendix E.9https://github.com/sriniiyer/codenncould generalize better to other programming lan-guage which is never seen in the pre-training step.However, our model achieve slightly lower resultsthan code2seq (Alon et al., 2019). The main reasoncould be that code2seq makes use of compositionalpaths in its abstract syntax tree (AST) while Code-BERT only takes original code as the input. Wehave trained a version of CodeBERT by traversingthe tree structure of AST following a certain order,but applying that model does not bring improve-ments on generation tasks. This shows a potentialdirection to improve CodeBERT by incorporatingAST.5ConclusionIn this paper, we present CodeBERT, which to thebest of our knowledge is the ﬁrst large bimodalpre-trained model for natural language and pro-gramming language. We train CodeBERT on bothbimodal and unimodal data, and show that ﬁne-tuning CodeBERT achieves state-of-the-art perfor-mance on downstream tasks including natural lan-guage code search and code-to-documentation gen-eration. To further investigate the knowledge em-bodied in pre-trained models, we formulate the taskof NL-PL probing and create a dataset for probing.We regard the probing task as a cloze-style answerselection problem, and curate distractors for bothNL and PL parts. Results show that, with modelparameters ﬁxed, CodeBERT']","The BLEU score for CodeBERT when pre-trained with the MLM+RTD objectives is expected to be higher than that of a standard BERT model, as these objectives improve generalization and robustness. However, without specific data or results, it's challenging to provide an exact figure. To determine the exact BLEU score, one should consult recent studies or papers that compare CodeBERT with other models trained using similar objectives, possibly on datasets like GitHub's code repository. Additionally, checking the implementation of the objectives and the training process is crucial for accurate assessment.",The BLEU score for CodeBERT when pre-trained with MLM+RTD objectives is 22.36.,0.9999999999,0.0,0.4,1.0
16,Which metric showed a statistically significant increase in correlation with human assessment over all other metrics for the German to French language pair according to Williams test?,"['1: System-level metric significance test results for DA human assessment for into English andout-of English language pairs (newstest2019): Green cells denote a statistically significant increase incorrelation with human assessment for the metric in a given row over the metric in a given columnaccording to Williams test.\x0c73given metric’s correlation with human assess-ment.5.1.1System-Level ResultsTables 3, 4 and 5 provide the system-level cor-relations of metrics evaluating translation ofnewstest2019. The underlying texts are partof the WMT19 News Translation test set (new-stest2019) and the underlying MT systems areall MT systems participating in the WMT19News Translation Task.As recommended by Graham and Bald-win (2014), we employ Williams significancetest (Williams, 1959) to identify differencesin correlation that are statistically significant.Williams test is a test of significance of a dif-ference in dependent correlations and there-fore suitable for evaluation of metrics. Corre-lations not significantly outperformed by anyother metric for the given language pair arehighlighted in bold in Tables 3, 4 and 5.Since pairwise comparisons of metrics maybe also of interest, e.g. to learn which metricssignificantly outperform the most widely em-ployed metric BLEU, we include significancetest results for every competing pair of metricsincluding our baseline metrics in Figure 1 andFigure 2.This year, the increased number of systemsparticipating in the news tasks has provided alarger sample of system scores for testing met-rics.Since we already have sufficiently con-clusive results on genuine MT systems, we donot need to generate hybrid system results asin Graham and Liu (2016) and past metricstasks.5.2Segment-Level EvaluationSegment-level evaluation relies on the man-ual judgements collected in the News Trans-lation Task evaluation.This year, again wewere unable to follow the methodology out-lined in Graham et al. (2015) for evaluation ofsegment-level metrics because the']","The metric that showed a statistically significant increase in correlation with human assessment for the German to French language pair is the number of words translated correctly. This metric is a direct measure of translation quality and is commonly used in the context of the Williams test to assess reliability. Human assessors would find a higher correlation between this metric and their evaluation, indicating improved translation quality.",ESIM.,0.9999999999,0.8443110613835462,0.0,0.5
17,What is the performance score for Entity Recognition when multitasked with Coreference Resolution?,"['entityrecognition involves assigning an entity label toa phrase span. Relation Extraction (RE) involvesassigning a relation type between pairs of spans.Coreference resolution groups spans referring tothe same entity into one cluster. Thus, we mightexpect that knowledge learned from one task mightbeneﬁt another.Most previous work in IE (e.g., (Nadeau andSekine, 2007; Chan and Roth, 2011)) employs apipeline approach, ﬁrst detecting entities and thenusing the detected entity spans for relation extrac-tion and coreference resolution. To avoid cascading1Code and pre-trained models are publicly available athttps://github.com/luanyi/DyGIE.COREFTom’s car broke down as he arrived at Starbucks to meet Mike.“This thing’s useless!” Tom exclaimed as it gave off smoke.       PER-SOCPHYSVEHCOREFPERLOCPERPERVEHPERVEHPHYSFigure 1: A text passage illustrating interactions be-tween entities, relations and coreference links. Somerelation and coreference links are omitted.errors introduced by pipeline-style systems, recentwork has focused on coupling different IE tasks asin joint modeling of entities and relations (Miwaand Bansal, 2016; Zhang et al., 2017), entities andcoreferences (Hajishirzi et al., 2013; Durrett andKlein, 2014), joint inference (Singh et al., 2013)or multi-task (entity/relation/coreference) learn-ing (Luan et al., 2018a). These models mostlyrely on the ﬁrst layer LSTM to share span repre-sentations between different tasks and are usuallydesigned for speciﬁc domains.In this paper, we introduce a general frameworkDynamic Graph IE (DYGIE) for coupling multipleinformation extraction tasks through shared spanrepresentations which are reﬁned leveraging con-textualized information from relations and coref-erences. Our framework is effective in several do-mains, demonstrating a beneﬁt from incorporatingbroader context learned from relation and corefer-ence annotations.Figure 1 shows an example illustrating the po-tential beneﬁts of entity, relation, and coreferencecontexts.']","The performance score for Entity Recognition when multitasked with Coreference Resolution would depend on how well the machine balances accuracy and efficiency in handling both tasks simultaneously. While specific metrics aren't provided, the score would likely be a good improvement over individual tasks, reflecting the machine's ability to handle both Entity Recognition and Coreference Resolution effectively together. This combination would likely yield a higher score than either task alone, indicating better overall performance.",67.5,0.9999999999,0.9000247397594191,0.0,0.0
18,Why are the results of BERT with a mean of 71.6% not considered meaningful?,"['BERT Sentence BERT (Reimers andGurevych, 2019) is a general-domain pretrainedmodel aimed at embedding sentences. The au-thors ﬁne-tuned BERT using a triplet loss, wherepositive sentences were from the same documentsection as the seed sentence, and distractor sen-tences came from other document sections. Themodel is designed to encode sentences as opposedto paragraphs, so we embed the title and each sen-tence in the abstract separately, sum the embed-dings, and L2 normalize the result to produce aﬁnal 768-dimensional paper embedding.18During hyperparameter optimization we chosehow to compute TF and IDF values weights bytaking the following non-redundant combinationsof scikit-learn’s TﬁdfVectorizer (Pedregosa et al.,2011) parameters: sublinear_tf, binary,use_idf, smooth_idf.There were a totalof 9 parameter combinations.The IDF valueswere estimated on the training set.The otherparameters were set as follows:min_df=3,max_df=0.75, strip_accents=’ascii’,stop_words=’english’,norm=None,lowercase=True. For training of fasttext, weused all default parameters with the exception ofsetting dimension to 300 and minCount was setto 25 due to the large corpus.18We used the ‘bert-base-wikipedia-sections-mean-tokens’model released by the authors: https://github.com/UKPLab/sentence-transformers']","The mean of 71.6% performance for BERT, while numerically low, may not be meaningful due to several factors: 1. **Metric Choice**: The mean might not be a reliable or meaningful metric for evaluating language models. Common metrics like ROUGE or BLEU are more appropriate as they assess text generation quality. 2. **Dataset Context**: The performance may be specific to the dataset used, not generalizable. Different tasks require models to handle varying nuances and contexts. 3. **Model Confidence**: BERT might be overconfident, leading to overestimated confidence scores, which can mislead about the model's actual performance. 4. **Task-Specificity**: The results might not be meaningful in the context of the specific task. For example, if the task requires coherent answers, the model's performance might not reflect true accuracy. 5. **Audience Impact**: The results might not be meaningful for the intended audience. For instance, in healthcare, a low mean might not reflect actual impact if the task is about accuracy. 6. **Statistical Significance**: Without context, it's unclear if the mean is statistically significant or just a random fluctuation. 7. **Comparison with Other Models**: If BERT isn't outperforming other models on the same task, its mean might not be meaningful in that specific context. In conclusion, the 71.6% mean may not be meaningful due to the lack of a reliable metric, context-specific performance, and potential overconfidence in the model's predictions.","The results are not considered meaningful because they include instances where BERT failed to train properly, resulting in degenerate results almost equivalent to random guessing, as observed in 5 out of 20 runs.",0.9999999999,0.0,0.0,1.0
19,On which platform were the annotations for the BoolQ dataset collected?,"['data from different authors and annota-tion protocols, lack parallel instances, or exploreless practically-useful QA domains or tasks (seeSection 3).Highly parallel data is particularlyattractive, as it enables fairer comparison acrosslanguages, requires fewer source language annota-tions, and allows for additional evaluation setupsat no extra annotation cost. A purpose-built evalua-tion benchmark dataset covering a range of diverselanguages, and following the popular extractive QAparadigm on a practically-useful domain would bea powerful testbed for cross-lingual QA models.With this work, we present such a benchmark,MLQA, and hope that it serves as an acceleratorfor multilingual QA in the way datasets such asSQuAD (Rajpurkar et al., 2016) have done for itsmonolingual counterpart. MLQA is a multi-wayparallel extractive QA evaluation benchmark inseven languages: English, Arabic, German, Viet-namese, Spanish, Simpliﬁed Chinese and Hindi. Toconstruct MLQA, we ﬁrst automatically identifysentences from Wikipedia articles which have thesame or similar meaning in multiple languages. We\x0c7316extract the paragraphs that contain such sentences,then crowd-source questions on the English para-graphs, making sure the answer is in the alignedsentence. This makes it possible to answer the ques-tion in all languages in the vast majority of cases.2The generated questions are then translated to alltarget languages by professional translators, andanswer spans are annotated in the aligned contextsfor the target languages.The resulting corpus has between 5,000 and6,000 instances in each language, and more than12,000 in English. Each instance has an alignedequivalent in multiple other languages (always in-cluding English), the majority being 4-way aligned.Combined, there are over 46,000 QA annotations.We deﬁne two tasks to assess performance onMLQA. The ﬁrst, cross-lingual transfer (XLT), re-quires models trained in one language (in our caseEnglish) to transfer to test data in a']",The BoolQ dataset's annotations were collected on the Open Images platform.,Amazon Mechanical Turk (MTurk).,0.9999999999,0.8409318162380736,0.0,0.5
